DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/04/2016,19:15,MANHATTAN,10013,40.7204338,-73.9998665,"(40.720434, -73.999866)",GRAND STREET,CROSBY STREET,,2,0,0,0,0,0,2,0,Other Vehicular,Other Vehicular,,,,3405747,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/04/2016,21:00,MANHATTAN,10013,40.7170989,-73.9985895,"(40.717099, -73.998589)",CANAL ST,MULBERRY ST,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405748,PASSENGER VEHICLE,BICYCLE,,,
04/04/2016,21:30,MANHATTAN,10013,40.7165747,-73.9971069,"(40.716575, -73.997107)",,,164 CANAL STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405749,PASSENGER VEHICLE,,,,
04/04/2016,21:00,MANHATTAN,10013,40.7170989,-73.9985895,"(40.717099, -73.998589)",CANAL STREET,MULBERRY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405750,PASSENGER VEHICLE,BICYCLE,,,
04/05/2016,1:15,MANHATTAN,10013,40.7210624,-73.9981962,"(40.721062, -73.998196)",LAFAYETTE STREET,BROOME STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405751,PASSENGER VEHICLE,VAN,,,
04/05/2016,13:00,MANHATTAN,10038,40.7117796,-73.9997006,"(40.71178, -73.999701)",MADISON STREET,SAINT JAMES PLACE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3405752,PASSENGER VEHICLE,VAN,,,
04/05/2016,17:35,,,,,,,,,0,0,0,0,0,0,0,0,Glare,Glare,,,,3405753,OTHER,PASSENGER VEHICLE,,,
04/05/2016,14:45,MANHATTAN,10013,40.7189132,-73.9992352,"(40.718913, -73.999235)",CENTRE STREET,HOWARD STREET,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3405754,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/06/2016,8:45,MANHATTAN,10013,40.7158281,-74.0035388,"(40.715828, -74.003539)",,,111 WORTH STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405755,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/06/2016,10:30,,,,,,CANAL STREET,BOWERY,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,Lost Consciousness,,,3405756,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
